Serotype,Region,Subregion,Country,Admin.level.1,Latitude,Longitude,Animal.type,Species,Report.date
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.7362,120.21845,Domestic,Chicken,9/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),19/04/2024
H5N1,Asia,Eastern Asia,Japan,Hirosima,34.675138,132.5377,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hirosima,34.6753,132.538,Wild,Large-Billed Crow (Corvus Macrorhynchos),22/03/2024
H5N1,Asia,Eastern Asia,Japan,Hirosima,34.6753,132.538,Domestic,Unspecified Bird,15/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.20089,120.1987,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.20029,120.19886,Domestic,Chicken,9/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),19/04/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.9848,144.3813,Wild,Eurasian Jay (Garrulus Glandarius),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.983333,144.383333,Wild,Unspecified Bird,19/03/2024
H5N1,Asia,South-Eastern Asia,Philippines,Region III (Central Luzon),15.133823,120.836674,Domestic,Unspecified Bird,4/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),19/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),19/04/2024
H5N1,Asia,South-Eastern Asia,Philippines,Region VIII (Eastern Visayas),11.146491,124.568738,Domestic,Unspecified Bird,4/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,22.675494,120.491414,Domestic,Chicken,5/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,22.78431,120.56626,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Japan,Niigata,37.9162,139.03612,Wild,Buzzard,14/03/2024
H5N1,Asia,Eastern Asia,Japan,Oosaka,34.5739,135.4828,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
